video-title,video-link,video-views,video-date,video-channel
COMPENSA COMPRAR o smartphone mais BARATO do BRASIL com 128GB? O PHILCO HIT MAX é uma BOA OPÇÃO?,https://www.youtube.com/watch?v=ruGvEDrLAqM,125 mil visualizações,há 9 meses,Gesiel Taveira
Philco HIT MAX - PCS02 | E não é que me SURPREENDEU? Unboxing e Impressões,https://www.youtube.com/watch?v=Q57RwtkGyYc,50 mil visualizações,há 9 meses,brasiliGEEKS
"PHILCO HIT P10 mostra AVANÇOS da MARCA, mas ainda tem muito o que MELHORAR | Análise / Review",https://www.youtube.com/watch?v=2kDjtKkl8PA,"9,8 mil visualizações",há 1 mês,TudoCelular
128GB BARATO e com DESEMPENHO pra JOGOS? // Philco Hit P10 - unboxing e impressões!,https://www.youtube.com/watch?v=BG4F90LROjo,38 mil visualizações,há 6 meses,EscolhaSegura
"UNBOXING Philco HIT MAX, Vale a pena comprar?",https://www.youtube.com/watch?v=XT-ujPW5wPI,15 mil visualizações,há 11 meses,Tekimobile
1 Mês de uso - Experiência com o Smartphone Philco Hit Max PCS02 128GB,https://www.youtube.com/watch?v=GS6Xxu3fA4A,"9,4 mil visualizações",há 6 meses,START Periféricos
"PHILCO HIT P10 | Configurações poderosas, mas VALE A PENA? Análise / Review",https://www.youtube.com/watch?v=E4JMIVGu5pI,10 mil visualizações,há 5 meses,brasiliGEEKS
"Philco Hit Plus: poucas mudanças, mas importantes [Unboxing/Hands-on]",https://www.youtube.com/watch?v=sO4eFoLQr7g,85 mil visualizações,há 11 meses,Canaltech
"Philco Hit PCS01, o primeiro smartphone da empresa que é cheio de acertos [ANÁLISE/REVIEW]",https://www.youtube.com/watch?v=EpKqOYU3_xw,139 mil visualizações,há 1 ano,Canaltech
Review Philco HIT (PCS01): das TVs aos celulares básicos – TecMundo,https://www.youtube.com/watch?v=gAqK1-CxVGs,19 mil visualizações,há 1 ano,TecMundo
3 Meses de Uso - Experiência com o Smartphone Philco Hit Max PCS02 128GB,https://www.youtube.com/watch?v=ZuE1sIP3PXM,"2,5 mil visualizações",há 3 meses,START Periféricos
Philco Hit Plus PCS02P - Review Tecnoblog,https://www.youtube.com/watch?v=ysas5C2m1qE,14 mil visualizações,há 10 meses,Tecnoblog
Philco Hit Max - Ficha Técnica | REVIEW EM 1 MINUTO - ZOOM,https://www.youtube.com/watch?v=P7SntaQYANA,1 mil visualizações,há 7 meses,Zoom
Philco HIT Max é bom mesmo?,https://www.youtube.com/watch?v=hjVKIJiTgqs,79 visualizações,há 3 meses,Henrique Cardoso
Um Smartphone BARATO com 128GB no BRASIL? Esse PHILCO HIT P10 é bom? Unboxing e Impressões,https://www.youtube.com/watch?v=HmaRL18FqUU,238 mil visualizações,há 3 meses,Gesiel Taveira
Hit P10: o melhor smartphone da Philco de 2020,https://www.youtube.com/watch?v=xky8YZ2QCoE,35 mil visualizações,há 6 meses,Canaltech
🔋 6000 mAh e tela GIGANTE!! MOTO G9 POWER a pena? // Análise e Review Completo!,https://www.youtube.com/watch?v=Kjsxyw-9txQ,52 mil visualizações,há 6 meses,EscolhaSegura
"Moto G9 Power, ENORME na BATERIA e TAMANHO",https://www.youtube.com/watch?v=JzYg8JAHhh8,246 mil visualizações,há 6 meses,Canaltech
Moto G9 Power REVIEW: Vale a pena comprar?,https://www.youtube.com/watch?v=z00CmJWQ96s,37 mil visualizações,há 5 meses,Oficina da Net
MOTO G9 POWER foca em quem quer MUITA BATERIA no seu retorno às raízes | Análise / Review,https://www.youtube.com/watch?v=i3UVx6jnSiA,56 mil visualizações,há 6 meses,TudoCelular
MOTO G9 POWER ! Tela e Bateria GIGANTES! Análise / Review,https://www.youtube.com/watch?v=nYhQONUoNlg,23 mil visualizações,há 5 meses,brasiliGEEKS
MOTO G9 PLUS vs. MOTO G9 POWER: ¿Cuál Escoger?,https://www.youtube.com/watch?v=K7UJ04YjzK8,16 mil visualizações,há 2 meses,Iván Luzardo
CHEGOU! Motorola MOTO G9 POWER com FORÇA TOTAL? Unboxing e Impressões,https://www.youtube.com/watch?v=efbnQ2I3zIg,417 mil visualizações,há 6 meses,Gesiel Taveira
Moto G9 Power - Review Tecnoblog,https://www.youtube.com/watch?v=GKwHwDUyku0,15 mil visualizações,há 6 meses,Tecnoblog
Análise do MOTO G9 Power: TELA e BATERIA de sobra! | Vale a pena?,https://www.youtube.com/watch?v=-pRqZx4t56E,10 mil visualizações,há 5 meses,Mundo Conectado
Motorola Moto G9 Power em análise: veja prós e contras do celular,https://www.youtube.com/watch?v=zHVkZHbZg8g,1 mil visualizações,há 5 meses,TechTudo
MOTO G9 POWER! Bateria ENORME e tela GIGANTE! Aí sim hein! UNBOXING!,https://www.youtube.com/watch?v=28oppgGBRt8,45 mil visualizações,há 6 meses,Be!Tech
Motorola Moto G9 Play vs Moto G9 Power - QUAL COMPRAR? QUAL O MELHOR PRA VOCÊ? COMPARATIVO!,https://www.youtube.com/watch?v=kX2xqUDqfRA,288 mil visualizações,há 5 meses,Gesiel Taveira
"MOTO G9 POWER | Agora com BATERA AINDA MAIOR, Já TÁ NA MÃO! Unboxing e Impressões",https://www.youtube.com/watch?v=_GOF0EgTMU0,33 mil visualizações,há 6 meses,brasiliGEEKS
MOTO G9 POWER | VALE A PENA COMPRAR EM 2021? ANÁLISE DETALHADA,https://www.youtube.com/watch?v=_iHROq8X5nw,"1,4 mil visualizações",há 2 meses,TecDuos
MOTO G9 POWER: é BATERIA que VOCÊ QUER? Então TOME | Hands-on,https://www.youtube.com/watch?v=7wPVN1LqPFw,37 mil visualizações,há 6 meses,TudoCelular
CHEGOU COM FORÇA! Motorola MOTO G9 POWER tudo que você precisa saber - Unboxing e Análise Completa,https://www.youtube.com/watch?v=FoPxTKQ3hi0,"4,8 mil visualizações",há 6 meses,PLAY android
MOTO G30 vs G9 POWER: CELULAR MOTOROLA mais NOVO significa ser MELHOR? | Comparativo,https://www.youtube.com/watch?v=QK_UN-wac3w,10 mil visualizações,há 2 semanas,TudoCelular
MOTO G8 POWER vs G9 POWER: quem realmente é o DONO da melhor BATERIA? | Comparativo,https://www.youtube.com/watch?v=dYq7KClbw7M,33 mil visualizações,há 5 meses,TudoCelular
Motorola Moto G9 POWER! DOIDEIRA DA MOTOROLA?,https://www.youtube.com/watch?v=eScN99pPkbI,30 mil visualizações,há 6 meses,Dudu Rocha
MOTOROLA MOTO G9 POWER! Vale a pena comprar?,https://www.youtube.com/watch?v=FpOfjDB8C2g,21 mil visualizações,há 3 meses,Kah Nogueira
Galaxy M31: o modelo mais competitivo da Samsung em 2020 [Análise/Review],https://www.youtube.com/watch?v=C2W1JgR50XA,183 mil visualizações,há 10 meses,Canaltech
GALAXY M31: candidato a MELHOR CELULAR INTERMEDIÁRIO de 2020 tem poucos poréns | Análise / Review,https://www.youtube.com/watch?v=D0n0w7BIdlk,151 mil visualizações,há 10 meses,TudoCelular
"Galaxy M31, o MELHOR SAMSUNG ""barato"" de 2020? Esse VOCÊ vai GOSTAR! Unboxing e Impressões",https://www.youtube.com/watch?v=bt2Xrm4Grl4,933 mil visualizações,há 11 meses,Gesiel Taveira
"Review GALAXY M31! O que REALMENTE IMPORTA, ELE TEM! SAMSUNG MANDOU BEM!",https://www.youtube.com/watch?v=Z_U42P0ys00,93 mil visualizações,há 11 meses,Be!Tech
Review Galaxy M31: dois dias de bateria e melhor que o A51 - TecMundo,https://www.youtube.com/watch?v=y_1GQLnlBaA,38 mil visualizações,há 11 meses,TecMundo
Ainda VALE a PENA em 2021!? SAMSUNG Galaxy M31! Que SITUAÇÃO COMPLICADA ele FICOU HEIN?,https://www.youtube.com/watch?v=wonmAwIouaY,46 mil visualizações,há 3 meses,Be!Tech
SAMSUNG GALAXY M31 // um INTERMEDIÁRIO com 6000mAh de BATERIA e 128GB de armazenamento!,https://www.youtube.com/watch?v=5JWFHfF4nGg,304 mil visualizações,há 11 meses,EscolhaSegura
Samsung Galaxy M31 - Vale a pena? | Análise completa,https://www.youtube.com/watch?v=84bwlqphFbI,19 mil visualizações,há 9 meses,Zoom
GALAXY M31 | Será mesmo a MELHOR OPÇÃO? Análise / Review,https://www.youtube.com/watch?v=Wt4nVGUgTVk,46 mil visualizações,há 11 meses,brasiliGEEKS
SAMSUNG GALAXY M31 é a OPÇÃO do MOMENTO? Vale MESMO a pena? // Análise & Review Completo!,https://www.youtube.com/watch?v=uhZwOBzOSMI,85 mil visualizações,há 11 meses,EscolhaSegura
Samsung Galaxy M31 - Review Tecnoblog,https://www.youtube.com/watch?v=4w7dHTJyVSs,20 mil visualizações,há 11 meses,Tecnoblog
Samsung GALAXY M31 ainda VALE A PENA em 2021? É um bom SMARTPHONE pra VOCÊ?,https://www.youtube.com/watch?v=Smv_2_bYn_4,61 mil visualizações,há 3 semanas,Gesiel Taveira
"Samsung Galaxy M31, a linha ""acessível"" VOLTOU? [Unboxing/Hands-on]",https://www.youtube.com/watch?v=787sfe8R__w,158 mil visualizações,há 11 meses,Canaltech
Galaxy M31 ( Melhor custo benefício atualmente?) Análise e impressões,https://www.youtube.com/watch?v=F3QSpyE00sc,46 visualizações,há 5 meses,Info-Nerd
"SAMSUNG GALAXY M31, celular INTERMEDIÁRIO de MAIOR BATERIA no Brasil | Hands-on",https://www.youtube.com/watch?v=pSd9LgpWmso,144 mil visualizações,há 11 meses,TudoCelular
Galaxy M31 é bom? Vale a pena comprar?,https://www.youtube.com/watch?v=rEJBNVFINoc,"9,9 mil visualizações",há 7 meses,Tt Tech
OLHA ESSA BATERIA! - Galaxy M31,https://www.youtube.com/watch?v=B5wuXnBcPro,1 mi de visualizações,há 11 meses,Coisa de Nerd
Samsung Galaxy M31 é bom em jogos? - RODA LISO,https://www.youtube.com/watch?v=GSmgQhJR0Ws,74 mil visualizações,há 11 meses,Oficina da Net
SAMSUNG GALAXY M31 - PRÓS E CONTRAS,https://www.youtube.com/watch?v=YTTS3xAXaiM,75 mil visualizações,há 11 meses,Linuxbrs
"SAMSUNG GALAXY M31 - 63 DIAS DE USO, CHEGA NÉ???",https://www.youtube.com/watch?v=hcmQZd2Ff3g,64 mil visualizações,há 8 meses,Linuxbrs
MOTOROLA ONE FUSION PLUS: um Hyper MELHORADO? | Análise / Review,https://www.youtube.com/watch?v=KJIadDXIThg,86 mil visualizações,há 10 meses,TudoCelular
MOTOROLA ONE FUSION PLUS! Sem DÚVIDA o REI do CUSTO BENEFÍCIO da MOTOROLA! REVIEW!,https://www.youtube.com/watch?v=jzZLMpG59xs,117 mil visualizações,há 9 meses,Be!Tech
"MOTOROLA ONE FUSION PLUS em 2021! Agora MAIS BARATO, vale a pena comprar? REVIEW/ANÁLISE",https://www.youtube.com/watch?v=yjVrU4tenzE,57 mil visualizações,há 5 meses,Oficina da Net
MOTOROLA ONE FUSION PLUS! MUITOS ACERTOS em VÁRIOS SENTIDOS! BOA MOTOROLA! UNBOXING!,https://www.youtube.com/watch?v=F3WsSoo7TR8,199 mil visualizações,há 11 meses,Be!Tech
Motorola ONE FUSION+ | MUITA BATERIA com ótimo DESEMPENHO e CÂMERAS! Análise/Review,https://www.youtube.com/watch?v=aaoJLwNWMnI,23 mil visualizações,há 10 meses,brasiliGEEKS
Motorola One Fusion e Fusion+ [Unboxing],https://www.youtube.com/watch?v=vkT1Rzy7TtE,237 mil visualizações,há 11 meses,Canaltech
"Motorola One Fusion+, o BRANQUINHO MAIS LINDO de 2020? Unboxing e Impressões",https://www.youtube.com/watch?v=MR7kfsi2qkM,473 mil visualizações,há 10 meses,Gesiel Taveira
"MOTOROLA ONE FUSION foca do DESEMPENHO, BATERIA e CÂMERAS | Análise / Review",https://www.youtube.com/watch?v=FQHafzoM3FU,196 mil visualizações,há 10 meses,TudoCelular
One Fusion Plus é bom? Vale a pena COMPRAR?,https://www.youtube.com/watch?v=_AWh2_8JEpg,"9,3 mil visualizações",há 9 meses,Tt Tech
MOTOROLA ONE FUSION PLUS! O que ela NÃO poderia ter feito de JEITO NENHUM! Motorola one fusion+,https://www.youtube.com/watch?v=PYjG8-nKyJI,80 mil visualizações,há 10 meses,Dudu Rocha
Motorola One Fusion e Fusion+: novos celulares com bateria de até 2 dias no Brasil! - TecMundo,https://www.youtube.com/watch?v=GpGs-y_ylCw,91 mil visualizações,há 11 meses,TecMundo
