video-dislikes,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count
86,Samsung Galaxy A71 é bom em jogos? Roda Liso?,https://www.youtube.com/watch?v=f0HlKgYGg5A,11444,99131,2020-06-16T22:50:10Z,Oficina da Net,726
22,Samsung Galaxy A71 - Review Tecnoblog,https://www.youtube.com/watch?v=CKRlXjrPVPk,3666,59322,2020-07-03T21:00:05Z,Tecnoblog,286
213,A REAL sobre o GALAXY A71. O QUASE TOP da Samsung vale a pena?,https://www.youtube.com/watch?v=xra9DQ1kERA,11589,132308,2020-07-18T16:25:15Z,Dudu Rocha,1031
47,"SAMSUNG GALAXY A71 | EXCELENTE, MAS TINHA QUE CUSTAR MENOS! ANÁLISE / REVIEW",https://www.youtube.com/watch?v=Gp_WtW6dg2A,4480,57641,2020-03-23T21:00:17Z,brasiliGEEKS,401
165,"Galaxy A71, esse SAMSUNG VALE a PENA? Será uma boa opção pra VOCÊ?",https://www.youtube.com/watch?v=2ips8zW15Tg,31820,301674,2020-05-11T16:00:01Z,Gesiel Taveira,2335
613,Samsung Galaxy A51 vs Galaxy A71 [COMPARATIVO],https://www.youtube.com/watch?v=YxV5qwt_DDg,28380,423411,2020-04-13T16:00:30Z,Canaltech,960
123,SE tem MELHOR eu DESCONHEÇO - POCO X3 NFC ANÁLISE [ Review ] COMPLETA !,https://www.youtube.com/watch?v=Su7pXca7gqE,16330,213979,2020-11-02T22:00:05Z,K Tech,1603
109,POCO X3 NFC: TELA 120 Hz é suficiente para ter um BOM CELULAR GAMER? | Análise / Review,https://www.youtube.com/watch?v=NpQGI6Tlur4,4825,82927,2020-12-02T00:01:12Z,TudoCelular,717
264,"Poco X3 NFC, ainda é a melhor opção de todas?",https://www.youtube.com/watch?v=SqYIwbygGQg,18959,243297,2021-01-22T00:00:56Z,Canaltech,1253
440,"CHEGOU! POCO X3 NFC da XIAOMI, o SMARTPHONE mais BARATO com TELA de 120Hz - Unboxing e Impressões",https://www.youtube.com/watch?v=6Kr5NbtA9uE,52119,779996,2020-10-26T18:20:00Z,Gesiel Taveira,3552
614,Não compre o XIAOMI POCO X3 NFC antes de VER esse VÍDEO! Veja se é isso que você quer!,https://www.youtube.com/watch?v=ak72DmxUaIw,39312,576083,2020-12-01T13:40:00Z,Gesiel Taveira,2952
110,O MAIS BARATO DE 120hz! Adorei o XIAOMI POCO X3 NFC! 😃 // Unboxing e Impressões,https://www.youtube.com/watch?v=OJLBC9XuXZs,11979,171994,2020-10-22T21:15:35Z,EscolhaSegura,972
275,POCO X3 NFC já está na MÃO 😱 O MELHOR CUSTO BENEFÍCIO de TODOS !,https://www.youtube.com/watch?v=4Nd3-TcoU4s,26587,362999,2020-09-07T22:00:01Z,K Tech,2313
76,"Poco X3 PRO, um Xiaomi com Snapdragon 860 | Pocophone Gamer? [Análise/Review] e [Comparativo]",https://www.youtube.com/watch?v=V2Ok_WldtBY,10180,117625,2021-05-08T14:00:07Z,Canaltech,703
44,POCO X3 NFC! O REI do CUSTO BENEFÍCIO dos GAMERS! Tela de 120hz com PREÇO bom DEMAIS! Unboxing!,https://www.youtube.com/watch?v=Y_qrZIP5qbc,6633,90917,2021-01-25T20:56:13Z,Be!Tech,679
130,Xiaomi POCO X3! A VERDADE! Não Vale a pena❓ NÃO COMPRE SEM VER ESSE VÍDEO!,https://www.youtube.com/watch?v=7wi8hQGmjCo,4107,57379,2021-04-12T23:17:09Z,Dudu Rocha,713
50,"POCO X3 NFC : Sem dúvida, um dos MELHORES que a XIAOMI já LANÇOU!",https://www.youtube.com/watch?v=YgyKgNC3aLA,5712,73610,2021-02-11T21:37:34Z,Be!Tech,707
502,"Redmi Note 9S, vale a pena ou não? [Análise/Review]",https://www.youtube.com/watch?v=Ng1F4Ex9LdE,29420,510107,2020-05-13T16:00:10Z,Canaltech,1256
106,REDMI NOTE 9S: MELHOR CUSTO-BENEFÍCIO da nova família da XIAOMI | Análise / Review,https://www.youtube.com/watch?v=2p_i0hemb4E,5045,154051,2020-06-29T23:32:20Z,TudoCelular,469
187,A MELHOR ESCOLHA ! XIAOMI REDMI NOTE 9s ANÁLISE [ Review ] COMPLETA !,https://www.youtube.com/watch?v=3RUa12gYXek,17706,227947,2020-06-10T22:00:00Z,K Tech,1234
295,XIAOMI REDMI NOTE 9S - Minha Opinião SINCERA! | Hands-on,https://www.youtube.com/watch?v=KyZrwn2zvuQ,23604,512882,2020-05-16T13:30:02Z,EscolhaSegura,1391
112,XIAOMI REDMI NOTE 9S vale a pena? Tá custo benefício? // análise completa!,https://www.youtube.com/watch?v=77Xi8ZGhclY,10442,156251,2020-06-13T13:30:00Z,EscolhaSegura,926
28,XIAOMI REDMI NOTE 9S: Vale a pena comprar? - ANÁLISE,https://www.youtube.com/watch?v=Kr5ZSCP7DFk,4382,51516,2020-06-30T22:00:12Z,Oficina da Net,545
752,"Redmi Note 9S, o QUERIDINHO da XIAOMI CHEGOU AQUI! Unboxing e Impressões",https://www.youtube.com/watch?v=qquxfVwxcjI,77979,997600,2020-05-14T15:10:00Z,Gesiel Taveira,7885
65,REDMI NOTE 9S! O melhor CUSTO BENEFÍCIO da FAMÍLIA REDMI? A XIAOMI ACERTOU? REVIEW!,https://www.youtube.com/watch?v=bKK4VnZ_vbk,6378,84493,2020-07-28T21:35:08Z,Be!Tech,807
217,NÃO TEM CONVERSA! Xiaomi REDMI NOTE 9S é o que é! VEJA!,https://www.youtube.com/watch?v=dzFNI87JpPY,20969,395310,2020-12-30T15:21:02Z,TukEmperial,2174
385,"Redmi Note 9, BARATO ou FORA DA REALIDADE? [Análise/Review]",https://www.youtube.com/watch?v=Agc-V0-64k4,16268,233657,2020-07-20T00:00:03Z,Canaltech,745
892,XIAOMI REDMI NOTE 9 vale a pena? CONTINUA o MELHOR CUSTO BENEFÍCIO? // Análise Review Completo!,https://www.youtube.com/watch?v=89XzlH68XwU,19046,505438,2020-07-21T22:02:52Z,EscolhaSegura,1263
315,"CHEGOU! Redmi Note 9S, o NOVO queridinho dos brasileiros? [Unboxing]",https://www.youtube.com/watch?v=2Hlm1PNyyg8,20524,227574,2020-04-30T22:15:00Z,Canaltech,906
754,REDMI NOTE 9S TÁ NA MÃO ! O Maior SUCESSO da XIAOMI !,https://www.youtube.com/watch?v=9T0kwmn_hVU,51734,840887,2020-04-01T21:00:05Z,K Tech,2601
76,"REDMI NOTE 9S no Brasil! O novo smartphone grandão e ""baratinho"" da Xiaomi – TecMundo",https://www.youtube.com/watch?v=jzvQnnB2reE,5377,83490,2020-04-21T00:30:12Z,TecMundo,342
388,"Samsung Galaxy M51, 7000 mAh de bateria [Análise/Review]",https://www.youtube.com/watch?v=Puk5EruRgHM,20174,291202,2021-02-03T00:00:10Z,Canaltech,1372
59,GALAXY M51: MELHOR AUTONOMIA de BATERIA em 2020 com um algo a mais | Análise / Review,https://www.youtube.com/watch?v=a6RMJvojT6Q,5839,99741,2020-12-25T00:28:35Z,TudoCelular,661
313,"7000mAh de BATERIA, OK..mas e o RESTO ? SAMSUNG GALAXY M51 ANÁLISE [ Review ] COMPLETA !",https://www.youtube.com/watch?v=B3UL0mJKF4Q,11354,151297,2020-11-25T22:00:01Z,K Tech,1283
25,"Galaxy M51! Sem DÚVIDA, uma das MELHORES OPÇÕES da SAMSUNG no MOMENTO! Review COMPLETO!",https://www.youtube.com/watch?v=FwjvIN094S4,4218,53256,2021-05-05T21:15:45Z,Be!Tech,776
96,"🔋 7000mAh, 📷 64MP e 128GB por R$1799? // SAMSUNG GALAXY M51 vale REALMENTE a pena?",https://www.youtube.com/watch?v=pP3CNnTnF1Q,14445,210596,2021-02-01T21:30:02Z,EscolhaSegura,1392
321,"CHEGOU! Galaxy M51, um SAMSUNG com BATERIA pra ninguém botar DEFEITO! Unboxing e Impressões",https://www.youtube.com/watch?v=L0BEtx34X30,41688,455088,2020-12-15T12:00:05Z,Gesiel Taveira,2838
116,BRUTO! 7.000mah de BATERIA! GALAXY M51 vêm com TUDO! SAMSUNG acertou em CHEIO! UNBOXING!,https://www.youtube.com/watch?v=klPE2C5zU5g,10810,175821,2020-12-01T22:04:02Z,Be!Tech,1317
